,index,TF,eRegulon_name,size_name,color_name,size_val,color_val,repressor_activator
62,B intermediate,EBF1,EBF1_+_(492r),EBF1_+_(492r),EBF1,1.0,0.86734074,activator
63,B intermediate,EBF1,EBF1_+_(492r),EBF1_+_(492r),EBF1,1.0,0.86734074,activator
64,B intermediate,EBF1,EBF1_+_(492r),EBF1_+_(492r),EBF1,1.0,0.86734074,activator
65,B intermediate,EBF1,EBF1_-_(190r),EBF1_-_(190r),EBF1,0.3928669486019272,0.86734074,repressor
66,B intermediate,EBF1,EBF1_-_(190r),EBF1_-_(190r),EBF1,0.3928669486019272,0.86734074,repressor
67,B intermediate,EBF1,EBF1_-_(190r),EBF1_-_(190r),EBF1,0.3928669486019272,0.86734074,repressor
68,B intermediate,EBF1,EBF1_-_(190r),EBF1_-_(190r),EBF1,0.3928669486019272,0.86734074,repressor
69,B intermediate,JDP2,JDP2_+_(223r),JDP2_+_(223r),JDP2,0.07483281699004364,0.24783352,activator
70,B intermediate,JDP2,JDP2_+_(223r),JDP2_+_(223r),JDP2,0.07483281699004364,0.24783352,activator
71,B intermediate,JDP2,JDP2_+_(223r),JDP2_+_(223r),JDP2,0.07483281699004364,0.24783352,activator
72,B intermediate,JDP2,JDP2_+_(223r),JDP2_+_(223r),JDP2,0.07483281699004364,0.24783352,activator
73,B intermediate,JDP2,JDP2_-_(20r),JDP2_-_(20r),JDP2,0.4412865817917276,0.24783352,repressor
74,B intermediate,JDP2,JDP2_-_(20r),JDP2_-_(20r),JDP2,0.4412865817917276,0.24783352,repressor
75,B intermediate,JDP2,JDP2_-_(20r),JDP2_-_(20r),JDP2,0.4412865817917276,0.24783352,repressor
76,B intermediate,JDP2,JDP2_-_(20r),JDP2_-_(20r),JDP2,0.4412865817917276,0.24783352,repressor
77,B intermediate,POU2F2,POU2F2_-_(65r),POU2F2_-_(65r),POU2F2,0.9279181574705272,0.744025,repressor
78,B intermediate,POU2F2,POU2F2_-_(65r),POU2F2_-_(65r),POU2F2,0.9279181574705272,0.744025,repressor
79,B intermediate,POU2F2,POU2F2_-_(65r),POU2F2_-_(65r),POU2F2,0.9279181574705272,0.744025,repressor
80,B intermediate,POU2F2,POU2F2_-_(65r),POU2F2_-_(65r),POU2F2,0.9279181574705272,0.744025,repressor
81,B intermediate,POU2F2,POU2F2_+_(385r),POU2F2_+_(385r),POU2F2,0.5996153173607852,0.744025,activator
82,B intermediate,POU2F2,POU2F2_+_(385r),POU2F2_+_(385r),POU2F2,0.5996153173607852,0.744025,activator
83,B intermediate,POU2F2,POU2F2_+_(385r),POU2F2_+_(385r),POU2F2,0.5996153173607852,0.744025,activator
84,B intermediate,POU2F2,POU2F2_+_(385r),POU2F2_+_(385r),POU2F2,0.5996153173607852,0.744025,activator
85,B intermediate,NFATC2,NFATC2_+_(67r),NFATC2_+_(67r),NFATC2,0.4066377237370262,0.3516436,activator
86,B intermediate,NFATC2,NFATC2_+_(67r),NFATC2_+_(67r),NFATC2,0.4066377237370262,0.3516436,activator
87,B intermediate,NFATC2,NFATC2_+_(67r),NFATC2_+_(67r),NFATC2,0.4066377237370262,0.3516436,activator
88,B intermediate,NFATC2,NFATC2_+_(67r),NFATC2_+_(67r),NFATC2,0.4066377237370262,0.3516436,activator
89,B intermediate,NFATC2,NFATC2_-_(73r),NFATC2_-_(73r),NFATC2,0.16288341217813004,0.3516436,repressor
90,B intermediate,NFATC2,NFATC2_-_(73r),NFATC2_-_(73r),NFATC2,0.16288341217813004,0.3516436,repressor
91,B intermediate,NFATC2,NFATC2_-_(73r),NFATC2_-_(73r),NFATC2,0.16288341217813004,0.3516436,repressor
92,B intermediate,NFATC2,NFATC2_-_(73r),NFATC2_-_(73r),NFATC2,0.16288341217813004,0.3516436,repressor
93,B intermediate,CREB5,CREB5_+_(378r),CREB5_+_(378r),CREB5,0.09847821354925529,0.0152404,activator
94,B intermediate,CREB5,CREB5_+_(378r),CREB5_+_(378r),CREB5,0.09847821354925529,0.0152404,activator
95,B intermediate,CREB5,CREB5_+_(378r),CREB5_+_(378r),CREB5,0.09847821354925529,0.0152404,activator
96,B intermediate,CREB5,CREB5_+_(378r),CREB5_+_(378r),CREB5,0.09847821354925529,0.0152404,activator
