"","Sst","Pvalb","Vip","Lamp5","Sncg","Sst.Chodl","Sst.Chodl.Sncg.4","Sst.Sncg.3","Sst.Pvalb.1","Lamp5.Sncg.2","Vip.Sncg.1"
"STAT3",-8.40872624487147,-4.5344291899101,-11.3126374370856,-0.50578484782759,-10.3575473438364,-8.1714986866974,-8.61193969047976,-13.4422366861025,-8.48431505268994,-4.62573147390747,-11.7377076322355
"YY1",-5.88497319095338,-5.82687213951387,-2.14290366998456,-0.785989168314952,-2.89849628111748,-7.12311078681698,-7.58904081103735,-12.7816127541104,-7.06147673538166,-1.87954102567434,-2.67787186970082
"FOXP2",-4.7966579948485,-5.46146024038682,-10.9710270437792,-5.2707164927655,-9.06427295814045,-8.41471779668941,-8.98148315599772,-16.8043820263302,-7.23912735389057,-8.05496466495959,-11.1008675313025
"SREBF1",-4.50384040240256,-0.596559201819658,-3.55803367988217,-4.09400000460674,-6.52317299522953,-4.47078809112153,-4.77556134713956,-8.81596854686333,-3.53153784534595,-5.58667883211656,-5.29630472331419
"SREBF2",-4.91223684215304,-0.812091734751589,-2.44470162636023,-4.64620664015938,-4.64321612162734,-5.67556745855585,-6.01734066106417,-9.74217911335269,-3.56603225676983,-5.68370644369849,-3.98797583076308
"THAP1",-7.48515755252637,-4.38187220864655,3.07304157607474,-2.39600004342325,-0.602209749317826,-9.06568914592818,-9.47242022335668,-12.4944134181143,-7.3333998611753,-2.37108211480231,1.3472915688345
"KLF5",-1.12571450490766,-11.1128637685079,1.73084304287877,3.86492719547186,4.4520352885449,5.72399567589309,5.43457992042243,0.609498598820375,-6.99988667680952,4.29077480192362,3.29012342918852
"Arid3b",-16.5928155507261,-7.4320069838024,-2.4982611025748,-2.38670320313461,-0.401554509565429,-14.4880953759735,-15.2691254659018,-25.0633509667829,-15.2744627841517,-3.66660340294029,-2.10866058728499
"Arid5a",-6.2275584321995,-4.38334109460012,-7.12959746800357,-6.16854478795651,-9.19926853689446,-8.48535698253287,-9.08798626785806,-15.9821522031058,-7.25528735828208,-8.76113589741744,-9.29825356028009
"Arntl",0.189947217905314,-2.29250392617431,-0.421975779044488,1.47171417303857,-0.29505524918231,0.894036216183032,0.869954847097098,0.384804070815923,-1.23422251347594,1.25191012431824,-0.240163260184138
"Atf1",0.669124438113307,-0.536567783327267,-1.85673766028075,-0.594624169737149,-2.15844701082279,-0.153400172233902,-0.198988898142163,-0.793337329643539,0.0259301597439809,-1.12540982722053,-2.21673275902624
"NFAT5",-5.16832784248304,-3.34189492858519,-10.4930026047726,-7.40354675517653,-11.5139379085069,-9.41062871476682,-10.0093344111592,-16.8017045952379,-5.82950748667532,-10.5390210115526,-12.2069662203888
"Creb3l2",-0.721292100244355,-4.32992980000725,1.31630907237733,1.46954820242801,0.858207687400049,0.568168852992973,0.498937447414956,-0.729407046758425,-3.12357700523403,1.62536203090597,1.3983300309616
