"","Pvalb","Sncg","Sst","Lamp5","Vip","Pvalb.Vip.3","Pvalb.Sst.1","Lamp5.Vip.2","Sncg.Vip.1"
"MYBL1",0.214177186461766,-0.289919635456333,0.387454709843638,1.29838460345414,-1.3484311930688,1.82909454556672,0.54799437497122,0.849519607902883,-0.86115151895888
"MYBL2",-2.34332109543263,0.990941725534941,0.591485230716346,0.844111729796043,1.6011819463651,0.191333713318808,-1.00547621885849,1.15017688392254,1.50984346379599
"NFKB1",-0.224928853668028,0.340876397752545,-0.731727056062723,-0.925758499490694,0.673599648570382,-2.04455421857744,-0.901515071035471,-0.723036502246827,0.488532056494215
"NFKB2",-1.02775405229389,0.930065351843843,-0.44310659308217,0.309927673265802,0.28343371334254,-0.781301080687345,-1.06127526367419,0.41366183027432,0.640078830491481
"PAX3",-2.03900108181816,1.62274169498786,0.560793288569935,-1.13157230566206,2.12730717659766,-1.68506619607143,-0.99556446367015,-0.529616628238534,2.01563688612549
"PAX9",0.638147252547306,-0.976172754964299,1.20676199791061,-0.586031153977839,-1.11480275061617,0.786988670838586,1.56865000296004,-0.786315361920387,-1.1851720029574
"PKNOX2",1.33035849120873,-1.52930786940999,-1.63443060804643,-1.44287586403615,0.649867446615494,-2.6586110832334,-0.731505969793273,-1.47657692226825,-0.602503075157539
"POU2F1",-5.55207904890336,1.56957057675057,3.8912594392405,2.01871220250859,0.284553352512527,3.02604976147409,-0.0439835210131575,2.02687474484514,1.12669053250547
"POU3F2",-4.95636016734679,0.869519532143419,3.41743294572426,2.6377825485954,0.510364419744977,2.89333496121799,-0.264195380661031,2.5603236383581,0.965289735537154
"POU6F2",0.1006061187204,0.531594414167835,-1.74491268104295,1.94237678768595,-0.0260762739116123,0.957883426901546,-1.49073705447318,1.78611699184897,0.441366065624306
"PROX1",1.15766455591939,0.0213145051573391,0.25270349684614,-1.45817234303005,-1.21766039436675,-0.826135412642264,0.920427622081066,-1.48066495317808,-0.874895225914211
"RFX2",-1.75929802540664,0.983786091647608,2.35981654423789,-0.186006972085977,-0.79679912047513,0.789784115477497,0.942488728486441,-0.138087074737937,-0.0162529659905449
"SMAD3",-1.46235220240776,0.0427587049635464,0.0804556744774722,0.226743354768547,1.23479862524144,-0.492372405762119,-0.844203457771436,0.370727740346295,0.755067561277744
"TGIF2",1.54337810865069,-0.383112559348496,-2.45790272230882,-0.380631654690654,0.9653860471869,-2.10242781776684,-1.49244081598907,-0.299078847774002,0.372676500236255
"RFX5",-1.62661307202064,0.624351997073338,1.59828910189935,-0.215771476299105,0.00556757792869964,0.159946418238878,0.262486642787053,-0.100310786411107,0.296861055088378
"RUNX2",0.796648830826612,-0.165641301588175,-0.710676545217226,-0.404329834343688,-1.25118665047052,-0.997347443174665,-0.257525774675753,-0.624315213193151,-0.896316196892049
"MGA",-1.72645411193636,0.356448162153887,1.10916112559179,-1.02455258476662,1.02338495960497,-0.971999918757253,-0.0509608375945821,-0.679623124676956,0.725415847555154
"TBR1",0.399122398160351,-0.97321535670098,0.105605160866893,-1.17720611821167,-0.102549780544938,-1.17712909379784,0.373530074446932,-1.17769725863744,-0.658180842538463
"TBX15",-1.68592713206154,0.22281994738727,1.29365124189535,-1.0083743116037,0.974067253929575,-0.848668110421067,0.030685167389548,-0.754193068536611,0.622018215076462
"TBX19",-0.151923668986032,-0.223038382448003,0.394498566186125,1.03591279042582,-0.165472741361552,1.58381944821074,0.309618792240903,0.869290141057245,-0.11168125959267
"TBX4",0.556085580967387,-1.3933308365745,0.437570733138501,-1.97371100565321,0.0687600411705595,-1.99096196801341,0.765409346421638,-1.94169843710752,-0.87246757541337
"TBX5",0.387268242097403,-1.14405811275816,0.307230501307602,-2.03038028130868,0.349146858641947,-1.95936692827592,0.532426078076936,-1.92940158674925,-0.589311987441345
"TEAD3",0.228698266004528,-0.579836805873373,0.639417506754727,-0.956043494438268,-0.870217326454307,-0.589023789916498,0.728849625768984,-1.08062475219303,-0.928595035092571
"TFAP2A",-1.39192014134015,2.77971363393443,-3.32268910742127,0.888936343677903,3.337525110041,-3.42500431956741,-4.00055345733376,1.59371695788403,3.35437636086213
"BHLHE40",-1.03578113315641,2.30689192667877,-3.03515191528086,2.74212232067868,1.83366074172159,-0.208779633187817,-3.41328340125338,2.94965002158429,2.48335862491089
"CLOCK",-1.28472768668786,1.00913757563013,1.09323927569993,-0.990187151128742,0.243189367824019,-0.888417556794343,0.166965719517385,-0.693998957142313,0.534753975715649
"FIGLA",0.134095523454386,-2.20555776903152,0.282251297879305,-1.54259979676524,0.568509562826797,-1.67466074615667,0.319472726155193,-1.59823324944969,-0.854310298337084
"HES7",-0.35291540045403,1.5065494146202,-1.9746559669778,1.84569403833673,0.659836223010491,-0.0812478353983093,-2.2659311474932,1.8949818309657,1.34562076204169
