"","p_val","avg_log2FC","pct.1","pct.2","p_val_adj","cluster","gene"
"RTN1.1",1.55377185005075e-21,-0.521810902577165,0.674,0.669,3.582065623107e-17,"oRG","RTN1"
"SPTAN1.1",1.97029237958182e-21,-0.806182220223649,0.184,0.284,4.54231205188793e-17,"oRG","SPTAN1"
"PTMS.1",2.0143936401113e-21,-0.71830609270151,0.541,0.574,4.64398309791258e-17,"oRG","PTMS"
"PID1.1",2.19270598446058e-21,-0.758280318535969,0.056,0.147,5.05506437657542e-17,"oRG","PID1"
"KIAA1211.1",2.42817258921777e-21,-0.841750758221532,0.095,0.193,5.59790908718264e-17,"oRG","KIAA1211"
"IP6K2.1",3.91678695888875e-21,-0.81054623888912,0.287,0.373,9.02976065502212e-17,"oRG","IP6K2"
"MSRA.1",4.83339986426732e-21,-0.682706181362274,0.034,0.117,1.11429200470819e-16,"oRG","MSRA"
"APLP1.1",5.20864079692401e-21,-0.774868308317683,0.105,0.203,1.20080004932286e-16,"oRG","APLP1"
"ZC2HC1A.1",7.25510169551212e-21,-0.820346936828835,0.336,0.409,1.67259114488336e-16,"oRG","ZC2HC1A"
"ZC3H13.1",8.44976852877381e-21,-0.853395029234507,0.439,0.493,1.94800963662351e-16,"oRG","ZC3H13"
"HIST1H1D",1.13789127650495e-20,0.384892881016099,0.23,0.135,2.62329454885452e-16,"oRG","HIST1H1D"
"RPL9",1.90220760490152e-20,-0.452106762970894,0.736,0.71,4.38534941233995e-16,"oRG","RPL9"
"SVBP.1",2.2173935115475e-20,-0.784031142241813,0.155,0.253,5.1119790015216e-16,"oRG","SVBP"
"BEX2.1",2.47697434379485e-20,-0.860428806034529,0.218,0.31,5.71041665218464e-16,"oRG","BEX2"
"RPL27A.1",2.96037841664206e-20,-0.390747991128569,0.813,0.771,6.8248564017266e-16,"oRG","RPL27A"
"CCDC34",4.14392031248086e-20,0.275208322468973,0.157,0.082,9.55339388839338e-16,"oRG","CCDC34"
"LMBR1L.1",4.87224627824785e-20,-0.759325714110036,0.053,0.138,1.12324765698726e-15,"oRG","LMBR1L"
"RPS27A.1",6.42701040660554e-20,-0.371248446844218,0.817,0.794,1.48168297913884e-15,"oRG","RPS27A"
"AMER2.1",7.31994711959031e-20,-0.687638083323543,0.068,0.158,1.68754060895035e-15,"oRG","AMER2"
"FTH1.1",7.87633368155294e-20,-0.378164788745619,0.831,0.797,1.81580996694522e-15,"oRG","FTH1"
"HMGA1",8.40499878536369e-20,-0.607057795115804,0.026,0.101,1.93768841997775e-15,"oRG","HMGA1"
"DLGAP4.1",9.0116788120827e-20,-0.733863890803767,0.13,0.228,2.07755243333755e-15,"oRG","DLGAP4"
"OLFM1.1",9.02506903570465e-20,-0.783003959370195,0.097,0.19,2.08063941549135e-15,"oRG","OLFM1"
"GSE1.1",1.04298007178677e-19,-0.747083644603981,0.06,0.146,2.40448625749723e-15,"oRG","GSE1"
"COTL1.1",1.4096530962135e-19,-0.59742775812905,0.036,0.117,3.2498142480106e-15,"oRG","COTL1"
"SCN2A.1",1.65906604061243e-19,-0.714575910394683,0.028,0.104,3.8248108500279e-15,"oRG","SCN2A"
"CDKN2D.1",1.77703006815782e-19,-0.550202296984233,0.026,0.102,4.09676511913104e-15,"oRG","CDKN2D"
"SCD5.1",5.0148303763074e-19,-0.754027112324744,0.077,0.165,1.15611899495391e-14,"oRG","SCD5"
"RPL13.1",5.35302999168709e-19,-0.306886547707475,0.901,0.856,1.23408753428354e-14,"oRG","RPL13"
"SERPINE2.1",5.45694514058043e-19,-0.687293807716857,0.046,0.126,1.25804413270941e-14,"oRG","SERPINE2"
"HIST1H1E",7.8207881000897e-19,0.283839302184584,0.261,0.161,1.80300448859468e-14,"oRG","HIST1H1E"
"RPS24",8.08143468685515e-19,-0.384226036215031,0.821,0.775,1.86309395270759e-14,"oRG","RPS24"
"ANK2.1",8.5383413296937e-19,-0.888578148181443,0.407,0.45,1.96842921014759e-14,"oRG","ANK2"
"RPS15A.1",9.71860332110033e-19,-0.44429326948351,0.721,0.71,2.24052680964647e-14,"oRG","RPS15A"
"DOCK4.1",1.02028457902104e-18,-0.642796013002017,0.028,0.102,2.35216406847511e-14,"oRG","DOCK4"
"MT-ND5.1",1.03759228237099e-18,-0.524465270379922,0.693,0.67,2.39206524777808e-14,"oRG","MT-ND5"
"SFPQ.1",1.38271214700452e-18,-0.497437193987788,0.708,0.68,3.18770458370421e-14,"oRG","SFPQ"
"MT-TV.1",1.95725793296237e-18,-0.906808052198542,0.061,0.142,4.51226243865145e-14,"oRG","MT-TV"
"KIF3A.1",2.00324754856957e-18,-0.774101859514614,0.247,0.335,4.61828689847228e-14,"oRG","KIF3A"
"JMJD1C.1",2.298033949172e-18,-0.790581209697455,0.292,0.371,5.29788746642112e-14,"oRG","JMJD1C"
"YBX1.1",2.96977301627284e-18,-0.331326971191624,0.896,0.826,6.84651471171541e-14,"oRG","YBX1"
"HS3ST1.1",4.06315608836333e-18,-0.742122594444543,0.036,0.11,9.36720004611282e-14,"oRG","HS3ST1"
"GRIA1.1",5.8280883177297e-18,-0.694030497742302,0.037,0.111,1.3436074807694e-13,"oRG","GRIA1"
"XIST.1",2.03605539611154e-17,-0.680273616712348,0.5,0.541,4.69392211019554e-13,"oRG","XIST"
"ST6GAL2.1",2.19552786706343e-17,-0.696688178369233,0.032,0.103,5.06156994472803e-13,"oRG","ST6GAL2"
"BEX5.1",2.53282887720242e-17,-0.587250009910432,0.039,0.113,5.83918369350247e-13,"oRG","BEX5"
"FAM117B",2.65207539142251e-17,-0.559218489044522,0.03,0.101,6.11409460738545e-13,"oRG","FAM117B"
"IGSF3.1",2.84839420606512e-17,-0.767158828216767,0.112,0.197,6.56668800266252e-13,"oRG","IGSF3"
"CEP85L.1",2.884819982938e-17,-0.748410437547664,0.081,0.164,6.65066398866526e-13,"oRG","CEP85L"
"CACNA2D1.1",3.16451825777477e-17,-0.716676906020028,0.082,0.164,7.29548039147395e-13,"oRG","CACNA2D1"
"RNF24.1",3.4495934207994e-17,-0.674503007153462,0.058,0.136,7.95269267231094e-13,"oRG","RNF24"
"ENSG00000166503.1",3.55954106461954e-17,-0.702141583554803,0.319,0.393,8.20616597037389e-13,"oRG","ENSG00000166503"
"POU3F2.1",4.6786799091406e-17,-0.832359749728308,0.584,0.552,1.07862286625328e-12,"oRG","POU3F2"
"KMT5B.1",5.54770961521504e-17,-0.810511550178111,0.31,0.379,1.27896897469168e-12,"oRG","KMT5B"
"RPS25",1.13038471504703e-16,-0.389886366916382,0.753,0.712,2.60598892206942e-12,"oRG","RPS25"
"MT-ND4",1.24396783969157e-16,-0.372970187249988,0.792,0.752,2.86784345762495e-12,"oRG","MT-ND4"
"FGF13.1",1.91241521117716e-16,-0.621172624769859,0.053,0.127,4.40888202784782e-12,"oRG","FGF13"
"FAM107B.1",2.05160025356971e-16,-0.678085700569693,0.111,0.195,4.72975922457961e-12,"oRG","FAM107B"
"MFSD6.1",2.14037591362699e-16,-0.654546794078164,0.037,0.107,4.93442263127567e-12,"oRG","MFSD6"
"CCDC50.1",2.63487769769481e-16,-0.806700187524953,0.236,0.315,6.07444704426562e-12,"oRG","CCDC50"
"HIVEP2.1",4.08836241673128e-16,-0.601532233085188,0.043,0.114,9.42531071553228e-12,"oRG","HIVEP2"
"RUFY2.1",4.93218372387011e-16,-0.795628203195134,0.294,0.363,1.13706563570102e-11,"oRG","RUFY2"
"ATAT1.1",5.89929587320996e-16,-0.752334954678245,0.101,0.18,1.36002367060982e-11,"oRG","ATAT1"
"ATP1B1.1",8.98933314331336e-16,-0.758804823057831,0.115,0.196,2.07240086285946e-11,"oRG","ATP1B1"
"PPP1R17.1",9.83778817650154e-16,-1.1755119744654,0.041,0.108,2.26800368621067e-11,"oRG","PPP1R17"
"SSBP3.1",1.08488117683141e-15,-0.645043703037185,0.076,0.152,2.50108506506714e-11,"oRG","SSBP3"
"FAM126A.1",1.19487472619242e-15,-0.746170876621119,0.092,0.17,2.75466419376401e-11,"oRG","FAM126A"
"RPS3A.1",1.19988023747863e-15,-0.373026938920067,0.772,0.734,2.76620389948324e-11,"oRG","RPS3A"
"MAP6.1",1.34467008643424e-15,-0.68161586128242,0.093,0.171,3.1000024172655e-11,"oRG","MAP6"
