"","MG","mGPC","OPC.Oligo","GluN5","GluN4","Late.RG","GluN3","Peric.","SP","nIPC","CGE.IN","Cyc..Prog.","tRG","MGE.IN","GluN2","Early.RG","GluN7","EC","GluN1","GluN6","GluN8","EC.Early.RG.14","Peric..Early.RG.13","MG.Early.RG.12","Late.RG.Early.RG.11","Late.RG.tRG.1","Cyc..Prog..Early.RG.10","GluN8.Early.RG.9","GluN8.GluN1.8","OPC.Oligo.Early.RG.3","mGPC.Early.RG.2","SP.GluN1.7","nIPC.Early.RG.1","CGE.IN.GluN1.6","CGE.IN.MGE.IN.1","GluN7.GluN1.5","GluN6.GluN1.4","GluN2.GluN1.3","GluN5.GluN1.2","GluN5.GluN4.1","GluN3.GluN1.1"
"NR2C2",4.4332577883519,3.48893405257106,3.27386569135199,0.184176135809318,-1.05994244355394,3.37984887532564,-2.34423997356018,3.98681497837556,-2.24161517678539,2.67216109972731,-0.0999747306402934,2.43738881232688,3.33222387530624,0.258579768036512,-3.15254160656829,3.26648553983226,-2.61678008580117,3.91944897467999,0.779962080858292,-2.90641307888942,-2.60224527328416,3.93968650760432,4.01416748833363,4.22607773648275,3.3472439647616,3.36057502015992,2.51851726019162,1.10626372580788,-2.49336345071851,3.28911907480084,3.46492218782603,-2.31973895296547,3.14978266084455,-1.79027176244499,0.00948441425652764,-2.74162250081576,-2.95434072027931,-3.1096572776612,-1.58973467277745,-0.341899861501186,-0.511056024663983
"STAT1::STAT2",1.56653677129447,1.66306809886331,0.262536054070771,-8.36150318060221,-3.96798479873287,2.09143048386941,-5.96438146136059,1.73112147041677,5.310791410772,-0.897494355182114,-3.03694124498652,0.660242303758675,2.00152349930465,-2.73768036642053,4.02006846692961,1.91315116755113,4.77888836888945,1.82845187016561,-9.58842127827738,3.88279227960891,5.16894412236269,1.81061136299388,1.74034377955892,1.64503465657686,1.69299701668866,2.03087367665628,1.02559108961553,5.19392345146221,5.31025276357818,0.778795841899303,1.28240780496809,5.19559703541169,0.523223412213904,1.48496513967454,-2.87555536349653,4.58136983504303,3.98676351477143,3.55512199069753,-4.78971968148558,-7.26685911754325,-9.45252151592791
"Tcf12",-2.99246849197233,-1.85757206116804,3.80011889260246,-2.36102038854086,-8.88609925786307,-4.19672061418563,-4.38909122164948,-2.64026464419398,-7.45159337114852,-1.26546102286442,10.3738654769835,-2.80550941357616,-4.07203986366489,13.4785865720078,-10.7103862283345,-3.89698140513874,-8.47812300025999,-2.92775037830148,0.868451508861183,-10.5256878770593,-9.23946522909485,-2.89241474225475,-2.75282977821706,-3.10765251248207,-3.79531453972467,-4.1229439402347,-3.28118914155888,-7.68043421572532,-9.08021434572948,2.19497962999336,-1.53649767187356,-6.99849688686131,-2.49237679543442,5.21949946978568,12.0854578689358,-8.2463835009269,-10.3894882955466,-10.7486256322557,-6.74084088446727,-4.98631938678426,-1.58113992715853
"IRF1",0.0064930516578934,-0.318109431389386,-1.13878337676836,-8.50567895752942,-3.21720796914108,0.0199899239615402,-4.16079793828462,-0.226669040948933,6.6045107416699,-3.29218179900004,-3.65801239820675,-1.51202178575761,-0.0940345495304164,-2.75464729332795,5.13535213451382,-0.177513745066412,6.23279129613539,-0.166317661644835,-10.8212426018053,5.052124780569,6.64659598085129,-0.173689721609581,-0.201783023669359,-0.102843727873593,-0.38304464121807,-0.053107350086264,-1.13482575136578,3.8493267805065,6.75692890240325,-0.824495225402066,-0.739916864393607,6.5363424445571,-1.71386387252974,2.121917063088,-3.10306702890867,6.02987023713037,5.19123694548441,4.60902250016942,-4.31272772091022,-6.94368813057117,-8.98164127643106
"KLF5",3.53332024859585,1.88518591214946,2.28919423258,0.993513420520916,0.427132057450155,1.49297808741601,1.02919760696358,2.51528708412173,-2.51026365334439,0.415488175838509,5.51892278028507,-0.345313471281623,1.57426276396195,6.2933212772415,-3.41248749330611,1.25947317401701,-2.73877010341958,2.52685373051848,2.5732421023163,-3.77614591359013,-3.47793338565777,2.54073271948442,2.59203580249982,3.04173132004226,1.32097922911123,1.52300867240303,-0.28281104434435,-1.63925058677599,-3.29980470889844,2.03375860432634,1.72599041067889,-2.31801688027841,0.980157131835539,3.15333907112908,6.04720739771945,-2.60258626239459,-3.58100126786573,-3.32300450003201,-0.386764971966993,0.767145060886447,2.098565790173
"Ar",0.172178674394732,0.582753621665351,1.21274121457452,-0.419778210544229,-0.482681167716678,0.449290729921032,-0.646465062340111,0.406647790571021,1.0745118869284,0.370044610749686,-0.412064919560734,0.314225440576228,0.383659492491656,-0.306274056528483,0.427167813265439,0.460458580275427,0.497282264487679,0.445983237001352,-0.368718859931698,0.304811039585237,0.55359448405608,0.435545036331461,0.395302386923221,0.259143492673382,0.389151840419053,0.416430232217078,0.38774160571619,1.28879323303957,0.673223487349721,1.14721974847482,0.644366543344119,0.978907450532808,0.457523981786386,0.228418842771496,-0.354230549167004,0.470502456644276,0.344308941018222,0.374215661152846,-0.254806938696019,-0.456805574930469,-0.516637131399135
"HNF1A",-2.24311575432577,-1.78719270280735,-3.27893594736408,1.1356793199903,-0.498861311064168,-1.35020857599126,0.370928697152428,-2.05387853138362,-3.10893204876064,-0.630946956205062,-0.526877420702473,-0.502040746299382,-1.40760546597275,-1.37825956307999,-2.58094646238839,-1.29292986057921,-3.00895705377253,-2.21771660263502,1.54555867327134,-2.19537631066577,-2.81917389964579,-2.19216708428065,-2.09194602914358,-2.10078064908686,-1.3593348933536,-1.37833438668491,-0.809999386544415,-4.02347279360555,-2.9965080401809,-3.1065299144347,-1.7955246134321,-3.19796511970003,-1.07020604567587,-3.29756052707527,-1.08388564998372,-3.03684644387014,-2.3909592159264,-2.46469430751913,-0.429848919209956,0.535197564114953,1.16221493502976
"NHLH1",-0.980734473118793,-0.193498639432326,5.48761457836273,-0.697114894157809,-6.41051200840083,-2.35407605221132,-3.06832149199837,-0.94258019293459,-5.80856394648612,-0.221882779009803,8.0241109911344,-1.66010177168585,-2.2951621137245,10.7729953971378,-8.70318710613958,-2.138602607335,-7.48700510374737,-1.1499559441467,2.18176879920758,-8.65213075847992,-7.95048216290117,-1.12085425195345,-1.00756754896554,-1.16684300149795,-2.05006590839624,-2.31390029860177,-1.92135298039965,-4.46024277279591,-7.62737951377661,3.95510285656128,0.13825962018034,-5.60540251393486,-1.02141145344524,3.91665649718055,9.55431720359059,-7.26359465110197,-8.57514882283501,-8.62769965344175,-4.45331879576486,-2.86650063140425,0.0651044796699426
"NR3C1",0.537113818797671,1.05812435641636,1.38638228156812,-0.98160619472771,-0.554868931502891,0.920304031689801,-1.24552508073204,0.776873425944282,0.420993239452905,0.446600201805749,-0.821138240247496,0.557899873514408,0.836823182813848,-1.27191318698117,-0.25680593756858,0.896292152075542,-0.148486432916641,0.825953956370421,-0.772661888106316,-0.474811183067482,-0.113314192722063,0.814393534007189,0.769086672641187,0.634475657542513,0.769170967791123,0.874577547190158,0.612749989113154,0.915385437535098,-0.00861165782529117,1.3287567749569,1.02392406155066,0.271816630227737,0.716196164980495,-0.872133933377922,-1.079914417612,-0.269272654746197,-0.432635797197855,-0.342237071486405,-0.956954075571554,-0.911657700039637,-1.12540167663664
"NR3C2",0.431091150886546,0.887301275540469,1.00635500861611,-1.04003527699809,-0.537358697317102,0.825075037411048,-1.35973345007954,0.73341815315255,1.09763199927805,0.175660726447043,-0.872726540891061,0.41465670899724,0.751913211180252,-1.30589352783278,0.22652697981397,0.77355689233426,0.651449106815988,0.799754341926903,-0.901847982203357,-0.0515210667778003,0.659479067881247,0.78367380339285,0.721181435535243,0.538921737429272,0.67227503161881,0.784018020372361,0.50421534797717,1.30479454958213,0.758504640579187,1.0187657216927,0.832192215988644,0.96795946843063,0.524223578369558,-0.394109006643544,-1.11093158308778,0.485184468666002,0.0511800662370814,0.125285434285716,-0.791776892155794,-0.915693079735102,-1.19102532519877
